name,position,start
Gabriel Bastos,Secretário de Estado da Segurança Social,2022-03-30
Paulo Cafôfo,Secretário de Estado das Comunidades Portuguesas,2022-03-30
Hugo Santos Mendes,Secretário de Estado das Infraestruturas,2022-03-30
Teresa Coelho,Secretário de Estado das Pescas,2022-03-30
João Galamba,Secretário de Estado do Ambiente e da Energia,2022-03-30
Pedro Nuno Teixeira,Secretário de Estado do Ensino Superior,2022-03-30
José Maria Costa,Secretário de Estado do Mar,2022-03-30
Sofia Batalha,Secretário de Estado do Orçamento,2022-03-30
Eduardo Pinheiro,Secretário de Estado do Planeamento,2022-03-30
João Nuno Mendes,Secretário de Estado do Tesouro,2022-03-30
Miguel Fontes,Secretário de Estado do Trabalho,2022-03-30
Rita Marques,"Secretário de Estado do Turismo, Comércio e Serviços",2022-03-30
Tiago Antunes,Secretário de Estado dos Assuntos Europeus,2022-03-30
António Mendonça Mendes,Secretário de Estado dos Assuntos Fiscais,2022-03-30
Francisco André,Secretário de Estado dos Negócios Estrangeiros e Cooperação,2022-03-30
Isabel Rodrigues,Secretário de Estado da Igualdade e Migrações,2022-05-02
Manuel Pizarro,Ministro da Saúde,2022-09-10
Miguel Alves,Secretário de Estado Adjunto do Primeiro-Ministro,2022-09-16
Margarida Mano,Secretário de Estado da Promoção da Saúde,2022-09-16
Ricardo Mestre,Secretário de Estado da Saúde,2022-09-16
António Mendonça Mendes,Secretário de Estado Adjunto do Primeiro-Ministro,2022-12-02
Pedro Cilínio,Secretário de Estado da Economia,2022-12-02
João Nuno Mendes,Secretário de Estado das Finanças,2022-12-02
Alexandra Reis,Secretário de Estado do Tesouro,2022-12-02
Nuno Fazenda,"Secretário de Estado do Turismo, Comércio e Serviços",2022-12-02
Nuno Félix,Secretário de Estado dos Assuntos Fiscais,2022-12-02
Marina Gonçalves,Ministro da Habitação,2023-01-04
Ana Fontoura Gouveia,Secretário de Estado da Energia e Clima,2023-01-04
Dalila Rodrigues,Ministro da Cultura,2024-04-02
Maria do Rosário Palma Ramalho,"Ministro do Trabalho, Solidariedade e Segurança Social",2024-04-02
Pedro Duarte,Ministro dos Assuntos Parlamentares,2024-04-02
Paulo Rangel,Ministro dos Negócios Estrangeiros,2024-04-02
Luís Montenegro,Primeiro-Ministro de Portugal,2024-04-02
Rita Júdice,Ministro da Justiça,2024-04-04
Alexandre Homem Cristo,Secretário de Estado Adjunto e da Educação,2024-04-05
Hernâni Dias,Secretário de Estado da Administração Local e Ordenamento do Território,2024-04-05
Lídia Bulcão,Secretário de Estado do Mar,2024-04-05
Inês Domingos,Secretário de Estado dos Assuntos Europeus,2024-04-05
Alberto Santos,Secretário de Estado da Cultura,2025-02-13
Rita Júdice,Ministro da Justiça,2025-06-05
Dan Katz,Secretário de Estado da Internacionalização,2025-10-06
